Representative Name,Product,State,Sale Amount,Quarter
Mary Townsend,401k,Massachusetts,5921.36,Q1
Johnny Wagner,401k,New York,5670.69,Q1
Ivan Moore,snake,Texas,2676.09,Q1
Estelle Zimmerman,snake,Florida,5563.04,Q1
Nelle Alexander,snake,Texas,4299.01,Q1
Charlotte Bryan,snake,Texas,5922.97,Q1
Angel Reese,watermelon,California,546.10,Q1
Alejandro Castro,homeopathic remedy,Massachusetts,86.51,Q1
Georgie West,401k,Florida,3.01,Q1
Alice McGuire,snake,Massachusetts,894.65,Q1
Hulda Munoz,homeopathic remedy,New York,1.35,Q1
Luis Gilbert,beanie baby,New York,8367.30,Q1
Amelia Pope,snake,Massachusetts,5294.81,Q1
Nettie Copeland,beanie baby,New York,6768.95,Q1
Maude Hoffman,snake,Texas,4189.92,Q1
Mark Parks,snake,California,3179.53,Q1
Irene Webster,401k,Florida,1829.00,Q1
Antonio Walton,401k,New York,186.75,Q1
Ida Hale,beanie baby,New York,9393.16,Q1
Eleanor Patrick,snake,California,3312.58,Q1
Hulda Munoz,snake,California,3108.24,Q1
Ricky Burgess,watermelon,Florida,9213.25,Q1
Birdie Simmons,401k,Florida,9245.52,Q1
Isabelle Mills,snake,Texas,8726.82,Q1
Rodney Day,snake,California,5309.20,Q1
Jason Park,beanie baby,Florida,1860.28,Q1
Jeff Jennings,beanie baby,California,204.12,Q1
Curtis Cannon,homeopathic remedy,Massachusetts,3457.29,Q1
Birdie Simmons,homeopathic remedy,Texas,3710.08,Q1
Ivan Moore,watermelon,Florida,117.45,Q1
Abbie Jenkins,snake,Florida,6.94,Q1
Angel Reese,snake,New York,9696.45,Q1
Mark Parks,401k,California,7137.35,Q1
Ida Hale,snake,Texas,7303.85,Q1
Troy Ballard,401k,Texas,4645.65,Q1
Emma Holmes,401k,Massachusetts,6424.06,Q1
Eva Carter,watermelon,Florida,9556.71,Q1
Gertrude Harrington,homeopathic remedy,New York,7084.15,Q1
Nora Brooks,watermelon,Texas,6199.53,Q1
Richard Luna,homeopathic remedy,California,1514.27,Q1
Irene Webster,401k,Massachusetts,9276.50,Q1
Chris Atkins,snake,California,991.59,Q1
Addie Sutton,watermelon,Massachusetts,71.50,Q1
Maude Hoffman,beanie baby,California,1.62,Q1
Samuel Yates,beanie baby,New York,3665.06,Q1
Lola Wade,watermelon,New York,2075.11,Q1
Hulda Munoz,snake,New York,3340.12,Q1
Irene Webster,snake,New York,3722.13,Q1
Richard Logan,homeopathic remedy,Florida,9540.57,Q1
Cody Duncan,homeopathic remedy,Texas,3454.18,Q1
Jeanette Robertson,snake,California,5435.41,Q1
Charlie West,homeopathic remedy,California,8829.37,Q1
Myrtle Hodges,watermelon,New York,4.15,Q1
